Recipe,Ingredients,Directions
Recipe 1,"Ginger garlic paste, Yogurt, Ginger garlic paste, Green chilli, Black salt, Red chilli, Turmeric powder, Cardamom powder, Red chilli powder, Fennel seed, Kashmiri red chilli, Dried fenugreek leaves, Gram flour, Onion, Garlic, Cumin seeds, Rice, boiled until 80 done with salt, Charcoal","-Make deep cuts on both sides of chicken pieces with the help of knife.
-In a bowl,add chicken pieces,pink salt,ginger garlic paste,lemon juice & rub well,cover & marinate for 30 minutes.
Prepare Angara Masala:
-In a bowl,add yogurt,ginger garlic paste,green chilli crushed,black salt,red chilli crushed,turmeric powder,garam masala powder,cardamom powder,red chilli powder,fennel seed powder,Kashmiri red chilli powder,chaat masala,dried fenugreek leaves,lemon juice,pink salt & mix well.
-Take out 2 tbs of prepared masala & reserve for later use.
-In remaining masala,add cooking oil,gram flour & mix well.
-In marinated chicken,add prepared angara masala,mix well,cover & marinate for 1 hour or overnight in refrigerator.
-On heated iron griddle,add cooking oil,marinated chicken,cover & cook on medium flame for 5-6 minutes.
-Flip chicken pieces,apply remaining marinade,cover & cook on medium flame for 4-5 minutes.
-Flip again,apply remaining marinade & cook until chicken is tender.
Prepare Dum Pulao:
-In a pot,add cooking oil,onion,garlic,cumin seeds & fry until light golden.
-Add 2 tbs of reserved angara masala & mix well.
-Add water,mix well & cook for a minute.
-Add boiled rice & spread evenly.
-Make holes with the back of wooden spoon.
-Place prepared chicken angara tikka pieces,cover & steam cook on low flame for 10-12 minutes.
-Give coal smoke for 2 minutes & serve!"
Recipe 2,"Onion, Spring onion, Green chilli, Garlic, Fresh coriander, Red chilli, Caster sugar, Sesame seeds, Vinegar, Sesame seeds, Spring onion, Egg","-Finely chop onion,green onion leaves,green chilli,garlic & fresh coriander.
-Take out in a bowl,add tikka masala,red chilli crushed,caster sugar,pink salt,sesame seeds & mix well.
-Add hot cooking oil,dark soy sauce,vinegar,lemon juice & mix well.
-Add egg noodles & give it a good mix.
-Sprinkle sesame seeds & garnish with green onion leaves,egg & serve!"
Recipe 3,"Garlic, Red chilli powder, Vinegar, Garlic powder","Prepare Masala Wings:
-Cut chicken wings from the center into two pieces & set aside.
-In a frying pan,add cooking oil,chicken wings & fry for 2-3 minutes.
-Add water,garlic,brown sugar,paprika powder,red chilli powder,pink salt,mustard paste,hot sauce, soy sauce,chilli sauce,tomato ketchup & mix well,cover & cook on medium flame for 5-6 minutes then cook on high flame until it dries up (4-5 minutes).
Prepare White BBQ Sauce:
-In a bowl,add mayonnaise,vinegar,hot sauce,pink salt,onion powder,garlic powder,water & whisk well.
-Garnish masala chicken wings with lemon,fresh parsley & serve with white Bbq sauce!"
Recipe 4,"Carrots, Onion, Potatoes, Garlic, Potato, Black pepper","-In a pot,add water,chicken,bring it to boil & remove scum.
-Add carrots,onion,celery stalks,potatoes,garlic,chicken stock cube,pink salt,cover partially & cook on low flame for 25-30 minutes.
-Turn off the flame,remove chicken pieces,let it cool,shred & set aside.
-Now blend well all the vegetable in stock with the help of a blender.
-Turn on the flame,add potato,black pepper crushed,dried oregano,dried parsley & mix well.
-Add fresh basil leaves,fresh parsley,mix well & cook on low flame for 10-15 minutes.
-Add shredded chicken & mix well.
-Garnish with fresh parsley & serve hot!"
Recipe 5,"lemons, cream, syger, vanilla essence, yellow food color, mint leaf","-Cut large lemons in half longwise,remove its pulp to create a clean vessel for a posset & squeeze out its juice & set aside.
-In a saucepan,add cream,sugar,vanilla essence & whisk well.
-Turn on the flame & cook on low flame while stirring until it comes to simmer (10-12 minutes).
-Turn off the flame,add lemon juice & whisk well.
-Add yellow food color & whisk well.
-Let it cool.
-Pour the posset into the cleaned rinds,tap few times & let it set for 4-6 hours in refrigerator.
-Garnish with lemon slice,mint leaf & serve chilled!"
Recipe 6,"Tomatoes, Green chillies, Garlic, Ginger, Onion, Cumin seeds, Coriander seeds, Red chilli powder, Turmeric powder, Spinach, Potatoes, Yogurt, Fresh coriander, Green chilli","-In a blender jug,add tomatoes,green chillies,ginger,garlic,blend well & set aside.
-In a wok,add cooking oil,onion & fry until light golden.
-Add cumin seeds & mix well.
-Add coriander seeds & mix well.
-Add blended tomato paste & mix well.
-Add pink salt,red chilli powder,turmeric powder,garam masala powder,mix well & cook on medium flame until oil separates (4-5 minutes).
-Add spinach,mix well & cook on medium flame until oil separates (8-10 minutes).
-Add lemon juice & mix well.
-Add potatoes (break roughly) & mix well.
-Add yogurt,mix well & cook for 1-2 minutes.
-Add fresh coriander & mix well,cover & simmer on low flame for 1-2 minutes.
-Garnish with green chilli & serve with chapati!"
Recipe 7,"Potatoes, Onion, Ginger garlic paste, Green chilli, Mustard seeds, Red chilli, Cumin seeds, Sesame seeds, Fresh coriander, Semolina","-Grate potatoes with help of grater & set aside.
-In a wok,add water & bring it to boil.
-Add grated potatoes & mix well.
-Add onion,ginger garlic paste,green chilli,mustard seeds,pink salt,red chilli crushed,cumin seeds, chicken powder,sesame seeds,fresh coriander & mix well,cover & cook on medium flame for 5-6 minutes.
-Add semolina & mix well.
-On low flame fold the mixture & break all lumps with the back of spoon.
-Turn off the flame,add cooking oil,mix well & let it cool.
-Grease hands with oil & gather the mixture.
-With greased hands,take a small quantity of mixture (30g),make a ball & press a finger in the center to make a hole to create a donut like shape (makes 35).
-In frying pan,heat cooking oil & shallow fry on medium flame from both sides until golden & crispy.
-Serve with tomato ketchup!"
Recipe 8,"Cauliflower, Potatoes, Carrot, Peas, French beans, cut into 1 inch, Tomatoes, Cashew nuts, Green chillies, Onion, Cumin seeds, Black peppercorns, Button red chillies, Onion, Green chilli, Garlic, Ginger, Capsicum, Kashmiri red chilli, Turmeric powder, Dried fenugreek leaves, Fresh coriander, Green chilli, Fresh coriander","-In boiling water,add cauliflower & blanch for 4-5 minutes,strain & set aside.
-Add potatoes & blanch for 5-6 minutes,strain & set aside.
-Add carrot,peas,French beans & blanch for 3-4 minutes,strain & set aside.
-Make small slits on tomatoes & blanch tomatoes for 6-8 minutes,strain & remove tomato skin.
-In blender jug,add tomatoes,cashew nuts,green chillies,fried onion,blend well & set aside.
-In a clay pot,add cooking oil,cumin seeds,black peppercorns,button red chillies & mix well.
-Add onion,green chilli,garlic,ginger,mix well & cook for 2-3 minutes.
-Add capsicum & mix well
-Add blended paste & mix well.
-Add Kashmiri red chilli powder,garam masala powder,pink salt,turmeric powder,tikka masala,dried fenugreek leaves & mix well.
-Add water & mix well.
-Now add all blanched vegetables & mix well.
-Add fresh coriander & mix well.
-Cover & seal the pot with rolled dough & steam cook on low flame for 20-25 minutes.
-Garnish with green chilli,fresh coriander,lemon & serve with chapati!"
Recipe 9,"Red chilli powder, Carom seeds, Kashmiri red chilli, Coriander powder, Turmeric powder, Ginger garlic paste, King fish, Onion, Garlic, Green chilli, Cumin seeds, Black peppercorns, Red chilli, Curry leaves, Fresh coriander, Curry leaves, Fresh coriander","-In a bowl,add red chilli powder,pink salt,carom seeds,kashmiri red chilli powder,coriander powder, turmeric powder,ginger garlic paste,lemon juice & mix well.
-In a dish,add king fish pieces,prepared marinade,rub evenly,cover with cling film & marinate for 1 hour.
-In a frying pan,add cooking oil,onion,garlic,green chillies,cumin seeds,black peppercorns,red chilli crushed,mix well & cook on medium flame for 2-3 minutes.
-Let it cool.
-In mortal & pestle,add cooked masala,curry leaves,fresh coriander,pink salt & crush well to make a paste & set aside.
-On iron griddle,add cooking oil,marinated fish & fry on medium flame from both sides for 2-3 minutes.
-Now move the fish pieces to the side of griddle.
-In the center of the griddle,add cooking oil,curry leaves & prepared paste,mix well & cook on medium flame for 1-2 minutes.
-Add water & mix well.
-Now add fried fish pieces,cover & cook on low flame until oil separates (4-5 minutes).
-Turn sides,sprinkle fresh coriander & serve!"
Recipe 10,"Onion, Garlic, Eggplant, Tomatoes, Green chillies, Cumin seeds, Red chilli, Black pepper powder, Optional, Eggs, Fresh coriander","-On a clean cutting board,chop onion,garlic & set aside.
-Cut eggplant in small cubes & apply cooking oil or lemon to prevent browning.
-Finely chop tomatoes & set aside.
-Deseed green chillies,chop roughly & set aside.
-On a cast iron skillet,add cooking oil,onion & sauté until translucent.
- Add garlic,eggplant,mix well & cook on medium flame for 4-5 minutes.
-Add tomatoes,green chillies & mix well.
-Add pink salt,cumin seeds,red chilli crushed,black pepper powder & mix well.
-Add water & mix well,cover & cook on low flame for 4-5 minutes.
-Add cheese & make 4 gashes with spoon.
-Add eggs one by one in gashes,sprinkle fresh coriander,cover & steam cook on low flame for 4-5 minutes.
-Sprinkle paprika powder & serve!"
